Model,ID,Notes,Tag,Precision,Recall,F1,Support,Predicted
BaselineTagPredictor,BaselineTagPredictor-004,,number theory,0.4419,0.4318,0.4368,44,43
BaselineTagPredictor,BaselineTagPredictor-004,,trees,0.6327,0.7561,0.6889,41,49
BaselineTagPredictor,BaselineTagPredictor-004,,geometry,0.4286,0.5,0.4615,6,7
BaselineTagPredictor,BaselineTagPredictor-004,,games,0.6923,0.75,0.72,12,13
BaselineTagPredictor,BaselineTagPredictor-004,,probabilities,0.0,0.0,0.0,7,0
BaselineTagPredictor,BaselineTagPredictor-005,,math,0.5641,0.443,0.4962,149,117
BaselineTagPredictor,BaselineTagPredictor-005,,graphs,0.6053,0.4259,0.5,54,38
BaselineTagPredictor,BaselineTagPredictor-005,,strings,0.6923,0.5745,0.6279,47,39
BaselineTagPredictor,BaselineTagPredictor-005,,number theory,0.5882,0.2273,0.3279,44,17
BaselineTagPredictor,BaselineTagPredictor-005,,trees,0.7273,0.3902,0.5079,41,22
BaselineTagPredictor,BaselineTagPredictor-005,,geometry,0.5,0.3333,0.4,6,4
BaselineTagPredictor,BaselineTagPredictor-005,,games,0.6,0.5,0.5455,12,10
BaselineTagPredictor,BaselineTagPredictor-005,,probabilities,0.0,0.0,0.0,7,0
BaselineTagPredictor,BaselineTagPredictor-006,,math,0.675,0.3624,0.4716,149,80
BaselineTagPredictor,BaselineTagPredictor-006,,graphs,0.72,0.3333,0.4557,54,25
BaselineTagPredictor,BaselineTagPredictor-006,,strings,0.7436,0.617,0.6744,47,39
BaselineTagPredictor,BaselineTagPredictor-006,,number theory,0.875,0.1591,0.2692,44,8
BaselineTagPredictor,BaselineTagPredictor-006,,trees,0.9,0.439,0.5902,41,20
BaselineTagPredictor,BaselineTagPredictor-006,,geometry,0.0,0.0,0.0,6,0
BaselineTagPredictor,BaselineTagPredictor-006,,games,1.0,0.1667,0.2857,12,2
BaselineTagPredictor,BaselineTagPredictor-006,,probabilities,0.0,0.0,0.0,7,0
BaselineTagPredictor,BaselineTagPredictor-007,,math,0.3016,1.0,0.4635,149,494
BaselineTagPredictor,BaselineTagPredictor-007,,graphs,0.1093,1.0,0.1971,54,494
BaselineTagPredictor,BaselineTagPredictor-007,,strings,0.0951,1.0,0.1738,47,494
BaselineTagPredictor,BaselineTagPredictor-007,,number theory,0.0891,1.0,0.1636,44,494
BaselineTagPredictor,BaselineTagPredictor-007,,trees,0.083,1.0,0.1533,41,494
BaselineTagPredictor,BaselineTagPredictor-007,,geometry,0.0121,1.0,0.024,6,494
BaselineTagPredictor,BaselineTagPredictor-007,,games,0.0243,1.0,0.0474,12,494
BaselineTagPredictor,BaselineTagPredictor-007,,probabilities,0.0142,1.0,0.0279,7,494
BaselineTagPredictor,BaselineTagPredictor-008,,math,0.4788,0.5302,0.5032,149,165
BaselineTagPredictor,BaselineTagPredictor-008,,graphs,0.619,0.2407,0.3467,54,21
BaselineTagPredictor,BaselineTagPredictor-008,,strings,0.5357,0.6383,0.5825,47,56
BaselineTagPredictor,BaselineTagPredictor-008,,number theory,0.5938,0.4318,0.5,44,32
BaselineTagPredictor,BaselineTagPredictor-008,,trees,0.7667,0.561,0.6479,41,30
BaselineTagPredictor,BaselineTagPredictor-008,,geometry,0.1111,0.1667,0.1333,6,9
BaselineTagPredictor,BaselineTagPredictor-008,,games,0.8889,0.6667,0.7619,12,9
BaselineTagPredictor,BaselineTagPredictor-008,,probabilities,0.5,0.4286,0.4615,7,6
BaselineTagPredictor,BaselineTagPredictor-009,,math,0.8,0.0268,0.0519,149,5
BaselineTagPredictor,BaselineTagPredictor-009,,graphs,0.0,0.0,0.0,54,0
BaselineTagPredictor,BaselineTagPredictor-009,,strings,1.0,0.0426,0.0816,47,2
BaselineTagPredictor,BaselineTagPredictor-009,,number theory,0.0,0.0,0.0,44,0
BaselineTagPredictor,BaselineTagPredictor-009,,trees,0.0,0.0,0.0,41,0
BaselineTagPredictor,BaselineTagPredictor-009,,geometry,0.0,0.0,0.0,6,0
BaselineTagPredictor,BaselineTagPredictor-009,,games,0.0,0.0,0.0,12,0
BaselineTagPredictor,BaselineTagPredictor-009,,probabilities,0.0,0.0,0.0,7,0
BaselineTagPredictor,BaselineTagPredictor-010,,math,0.5702,0.4631,0.5111,149,121
BaselineTagPredictor,BaselineTagPredictor-010,,graphs,0.5897,0.4259,0.4946,54,39
BaselineTagPredictor,BaselineTagPredictor-010,,strings,0.8333,0.5319,0.6494,47,30
BaselineTagPredictor,BaselineTagPredictor-010,,number theory,0.6667,0.1818,0.2857,44,12
BaselineTagPredictor,BaselineTagPredictor-010,,trees,0.7727,0.4146,0.5397,41,22
BaselineTagPredictor,BaselineTagPredictor-010,,geometry,0.0,0.0,0.0,6,1
BaselineTagPredictor,BaselineTagPredictor-010,,games,1.0,0.4167,0.5882,12,5
BaselineTagPredictor,BaselineTagPredictor-010,,probabilities,0.0,0.0,0.0,7,0
BaselineTagPredictor,BaselineTagPredictor-011,,math,0.6071,0.4564,0.5211,149,112
BaselineTagPredictor,BaselineTagPredictor-011,,graphs,0.6316,0.4444,0.5217,54,38
BaselineTagPredictor,BaselineTagPredictor-011,,strings,0.6944,0.5319,0.6024,47,36
BaselineTagPredictor,BaselineTagPredictor-011,,number theory,0.8333,0.3409,0.4839,44,18
BaselineTagPredictor,BaselineTagPredictor-011,,trees,0.7667,0.561,0.6479,41,30
BaselineTagPredictor,BaselineTagPredictor-011,,geometry,0.0,0.0,0.0,6,5
BaselineTagPredictor,BaselineTagPredictor-011,,games,0.75,0.5,0.6,12,8
BaselineTagPredictor,BaselineTagPredictor-011,,probabilities,0.0,0.0,0.0,7,0
BaselineTagPredictor,BaselineTagPredictor-012,,math,0.3016,1.0,0.4635,149,494
BaselineTagPredictor,BaselineTagPredictor-012,,graphs,0.1093,1.0,0.1971,54,494
BaselineTagPredictor,BaselineTagPredictor-012,,strings,0.0951,1.0,0.1738,47,494
BaselineTagPredictor,BaselineTagPredictor-012,,number theory,0.0891,1.0,0.1636,44,494
BaselineTagPredictor,BaselineTagPredictor-012,,trees,0.083,1.0,0.1533,41,494
BaselineTagPredictor,BaselineTagPredictor-012,,geometry,0.0121,1.0,0.024,6,494
BaselineTagPredictor,BaselineTagPredictor-012,,games,0.0243,1.0,0.0474,12,494
BaselineTagPredictor,BaselineTagPredictor-012,,probabilities,0.0142,1.0,0.0279,7,494
BaselineTagPredictor,BaselineTagPredictor-013,,math,0.6827,0.4765,0.5613,149,104
BaselineTagPredictor,BaselineTagPredictor-013,,graphs,0.6667,0.3704,0.4762,54,30
BaselineTagPredictor,BaselineTagPredictor-013,,strings,0.6136,0.5745,0.5934,47,44
BaselineTagPredictor,BaselineTagPredictor-013,,number theory,0.72,0.4091,0.5217,44,25
BaselineTagPredictor,BaselineTagPredictor-013,,trees,0.9167,0.5366,0.6769,41,24
BaselineTagPredictor,BaselineTagPredictor-013,,geometry,0.2857,0.3333,0.3077,6,7
BaselineTagPredictor,BaselineTagPredictor-013,,games,0.9091,0.8333,0.8696,12,11
BaselineTagPredictor,BaselineTagPredictor-013,,probabilities,0.6667,0.2857,0.4,7,3
BaselineTagPredictor,BaselineTagPredictor-014,,math,0.5283,0.5638,0.5455,149,159
BaselineTagPredictor,BaselineTagPredictor-014,,graphs,0.475,0.7037,0.5672,54,80
BaselineTagPredictor,BaselineTagPredictor-014,,strings,0.6333,0.8085,0.7103,47,60
BaselineTagPredictor,BaselineTagPredictor-014,,number theory,0.3485,0.5227,0.4182,44,66
BaselineTagPredictor,BaselineTagPredictor-014,,trees,0.6341,0.6341,0.6341,41,41
BaselineTagPredictor,BaselineTagPredictor-014,,geometry,0.2,0.6667,0.3077,6,20
BaselineTagPredictor,BaselineTagPredictor-014,,games,0.5,0.5833,0.5385,12,14
BaselineTagPredictor,BaselineTagPredictor-014,,probabilities,0.0,0.0,0.0,7,2
BaselineTagPredictor,BaselineTagPredictor-015,,math,0.6373,0.4362,0.5179,149,102
BaselineTagPredictor,BaselineTagPredictor-015,,graphs,0.7059,0.4444,0.5455,54,34
BaselineTagPredictor,BaselineTagPredictor-015,,strings,0.7941,0.5745,0.6667,47,34
BaselineTagPredictor,BaselineTagPredictor-015,,number theory,0.5625,0.2045,0.3,44,16
BaselineTagPredictor,BaselineTagPredictor-015,,trees,0.7333,0.5366,0.6197,41,30
BaselineTagPredictor,BaselineTagPredictor-015,,geometry,0.2,0.1667,0.1818,6,5
BaselineTagPredictor,BaselineTagPredictor-015,,games,0.6,0.25,0.3529,12,5
BaselineTagPredictor,BaselineTagPredictor-015,,probabilities,0.0,0.0,0.0,7,0
BaselineTagPredictor,BaselineTagPredictor-016,,math,0.7945,0.3893,0.5225,149,73
BaselineTagPredictor,BaselineTagPredictor-016,,graphs,0.7,0.3889,0.5,54,30
BaselineTagPredictor,BaselineTagPredictor-016,,strings,0.8571,0.5106,0.64,47,28
BaselineTagPredictor,BaselineTagPredictor-016,,number theory,1.0,0.1818,0.3077,44,8
BaselineTagPredictor,BaselineTagPredictor-016,,trees,0.8421,0.3902,0.5333,41,19
BaselineTagPredictor,BaselineTagPredictor-016,,geometry,0.0,0.0,0.0,6,0
BaselineTagPredictor,BaselineTagPredictor-016,,games,1.0,0.0833,0.1538,12,1
BaselineTagPredictor,BaselineTagPredictor-016,,probabilities,0.0,0.0,0.0,7,0
BaselineTagPredictor,BaselineTagPredictor-017,,math,0.3016,1.0,0.4635,149,494
BaselineTagPredictor,BaselineTagPredictor-017,,graphs,0.1093,1.0,0.1971,54,494
BaselineTagPredictor,BaselineTagPredictor-017,,strings,0.0951,1.0,0.1738,47,494
BaselineTagPredictor,BaselineTagPredictor-017,,number theory,0.0891,1.0,0.1636,44,494
BaselineTagPredictor,BaselineTagPredictor-017,,trees,0.083,1.0,0.1533,41,494
BaselineTagPredictor,BaselineTagPredictor-017,,geometry,0.0121,1.0,0.024,6,494
BaselineTagPredictor,BaselineTagPredictor-017,,games,0.0243,1.0,0.0474,12,494
BaselineTagPredictor,BaselineTagPredictor-017,,probabilities,0.0142,1.0,0.0279,7,494
BaselineTagPredictor,BaselineTagPredictor-018,,math,0.6154,0.4832,0.5414,149,117
BaselineTagPredictor,BaselineTagPredictor-018,,graphs,0.6667,0.2963,0.4103,54,24
BaselineTagPredictor,BaselineTagPredictor-018,,strings,0.6136,0.5745,0.5934,47,44
BaselineTagPredictor,BaselineTagPredictor-018,,number theory,0.6154,0.5455,0.5783,44,39
BaselineTagPredictor,BaselineTagPredictor-018,,trees,0.9545,0.5122,0.6667,41,22
BaselineTagPredictor,BaselineTagPredictor-018,,geometry,0.4,0.3333,0.3636,6,5
BaselineTagPredictor,BaselineTagPredictor-018,,games,0.9091,0.8333,0.8696,12,11
BaselineTagPredictor,BaselineTagPredictor-018,,probabilities,0.5,0.2857,0.3636,7,4
BaselineTagPredictor,BaselineTagPredictor-019,,math,0.5,0.0067,0.0132,149,2
BaselineTagPredictor,BaselineTagPredictor-019,,graphs,0.0,0.0,0.0,54,1
BaselineTagPredictor,BaselineTagPredictor-019,,strings,0.0,0.0,0.0,47,1
BaselineTagPredictor,BaselineTagPredictor-019,,number theory,0.0,0.0,0.0,44,1
BaselineTagPredictor,BaselineTagPredictor-019,,trees,0.0,0.0,0.0,41,1
BaselineTagPredictor,BaselineTagPredictor-019,,geometry,0.0,0.0,0.0,6,1
BaselineTagPredictor,BaselineTagPredictor-019,,games,0.0,0.0,0.0,12,0
BaselineTagPredictor,BaselineTagPredictor-019,,probabilities,0.0,0.0,0.0,7,0
BaselineTagPredictor,BaselineTagPredictor-020,,math,0.6078,0.4161,0.494,149,102
BaselineTagPredictor,BaselineTagPredictor-020,,graphs,0.6571,0.4259,0.5169,54,35
BaselineTagPredictor,BaselineTagPredictor-020,,strings,0.84,0.4468,0.5833,47,25
BaselineTagPredictor,BaselineTagPredictor-020,,number theory,0.5625,0.2045,0.3,44,16
BaselineTagPredictor,BaselineTagPredictor-020,,trees,0.8696,0.4878,0.625,41,23
BaselineTagPredictor,BaselineTagPredictor-020,,geometry,0.0,0.0,0.0,6,1
BaselineTagPredictor,BaselineTagPredictor-020,,games,1.0,0.25,0.4,12,3
BaselineTagPredictor,BaselineTagPredictor-020,,probabilities,0.0,0.0,0.0,7,0
